Dimer Name,Family Name,ED(MP),ED(MPrc),ED(NMP),ED(NMPrc),motif_distance,deepSyn_motif_distance,diff_distance,family_name
ETV2_ONECUT2,ETS_HomeoCut,0.161332572835443,0.3968716814857821,0.15354530750825301,0.42186659674516497,0.22498159080827188,0.0912735446482714,0.13383727693438455,ETS_HomeoCut
ETV2_ONECUT2_2,ETS_HomeoCut,0.178398950057057,0.360394238004665,0.14482092610590305,0.402309925527821,0.2745415698265904,0.08654545336937375,0.2734248838574204,ETS_HomeoCut
ETV2_ONECUT2_3,ETS_HomeoCut,0.130606963168106,0.4489526719089121,0.14155792979371498,0.3967474920416599,0.17050191152260138,0.0973761490812809,0.3377233247158743,ETS_HomeoCut
ETV2_ONECUT2_4,ETS_HomeoCut,0.128713878728001,0.430025451041744,0.11961900412790401,0.393787810864522,0.23709383850060653,0.06604859638342436,0.1873718263522732,ETS_HomeoCut
ETV2_ONECUT2_5,ETS_HomeoCut,0.150610381338641,0.46400658755767604,0.14580248344951802,0.437556223698029,0.2713809599743429,0.09815577831425827,0.2583998271495533,ETS_HomeoCut
FLI1_ONECUT2,ETS_HomeoCut,0.190192346414398,0.4438208266868471,0.20278083977486397,0.42132107984901707,0.26897259572448734,0.18623014742771835,0.082742448296769,ETS_HomeoCut
ELK1_PAX1,ETS_PAX,0.13596969774093198,0.39347681791710704,0.18127244301575696,0.34380988756333003,0.190996561778117,0.08990531502719531,0.1019375554337276,ETS_PAX
ELK1_PAX5,ETS_PAX,0.31576067690686,0.621697827950583,0.316694662864295,0.557434600195583,0.19943874779172788,0.06940637313695451,0.13901052708078027,ETS_PAX
ELK1_PAX9,ETS_PAX,0.315564704436536,0.435477232942383,0.29507917098957104,0.43520088848551197,0.7161985682489345,0.440827089719149,0.31912085004170315,ETS_PAX
ETV2_PAX5,ETS_PAX,0.7333853678237109,0.717527561815317,0.298251142436141,0.494516265699035,0.5598293512541626,0.10105756641743524,0.4756329057617621,ETS_PAX
ELK1_SREBF2,ETS_bHLH,0.286558955366084,0.32558895818110195,0.18685416803503305,0.3587756275188789,0.40525556110140426,0.21644965307655809,0.18880590802484606,ETS_bHLH
ELK1_SREBF2_2,ETS_bHLH,0.135135334322441,0.43038844211813204,0.0864846891910862,0.406341597327009,0.20175833818353037,0.11319575280500907,0.09977986051648167,ETS_bHLH
ERF_CLOCK,ETS_bHLH,0.15310381266698495,0.439597689475699,0.132647820001764,0.4150766207175271,0.21652148777683272,0.15316804359898487,0.06335344417784791,ETS_bHLH
ERF_FIGLA,ETS_bHLH,0.141325344158941,0.40141230631070296,0.141325344158941,0.40141230631070296,0.1998642184273653,0.11134426066719966,0.08851995776016566,ETS_bHLH
ERF_HES7,ETS_bHLH,0.151895717674876,0.398435743764492,0.17968297407080802,0.364384374213214,0.2148129840506547,0.15910951862509656,0.05570346542555815,ETS_bHLH
ERF_HES7_2,ETS_bHLH,0.17022994247711098,0.473631251348727,0.157720922934451,0.4681083858159361,0.24074149338773135,0.17258528487987815,0.0681562085078532,ETS_bHLH
ERF_HES7_3,ETS_bHLH,0.196093392790351,0.48484412798408,0.182213854595714,0.392505521295837,0.313838505774364,0.16788409937890392,0.16504973854850896,ETS_bHLH
ERF_MAX,ETS_bHLH,0.272003586871645,0.279121734842258,0.164602561184837,0.37332463890289,0.38467116155029374,0.10626328058803754,0.2784078809622562,ETS_bHLH
ERF_NHLH1,ETS_bHLH,0.16373617888444195,0.428097739685757,0.148953383584224,0.3846251103557129,0.22162018052110832,0.11227642464936913,0.11262666010757046,ETS_bHLH
ERF_SREBF2,ETS_bHLH,0.09056381674151501,0.4440436382717271,0.12023813177787,0.4037748485736579,0.12686081765106952,0.1670847683480771,-0.03952643378167306,ETS_bHLH
ERF_SREBF2_2,ETS_bHLH,0.19055633872046202,0.44736615974981897,0.14423956984491,0.446435157178249,0.3314452645624135,0.2329244951504381,0.12049134707080242,ETS_bHLH
ETV2_BHLHA15,ETS_bHLH,0.153473995009426,0.39069376305299697,0.188048168183893,0.329058988254029,0.216414102956265,0.09248019061792648,0.12415889660357575,ETS_bHLH
ETV2_CLOCK,ETS_bHLH,0.11033281090281802,0.43017938271213,0.14310641593427098,0.38859515587314203,0.1560341575584319,0.1438276816761426,0.012206475882289236,ETS_bHLH
ETV2_FIGLA,ETS_bHLH,0.0558555419753115,0.432024588718619,0.0928295668294639,0.412457614218269,0.07899166498233859,0.08066651480532737,-0.0016748498229887665,ETS_bHLH
ETV2_FIGLA_2,ETS_bHLH,0.12881659451080302,0.4347594504218979,0.165692166710104,0.35262436124697105,0.3625198649217486,0.1531120013569605,0.26289815951592,ETS_bHLH
ETV2_HES7,ETS_bHLH,0.18399582458259,0.51445540143449,0.187144362152098,0.391535336949815,0.2575682666435349,0.11839330851152473,0.1406884860517892,ETS_bHLH
ETV2_HES7_2,ETS_bHLH,0.308599571155781,0.325216522251955,0.16897009564444698,0.38038766236277705,0.40977539658680645,0.12593836193415936,0.2792466833586271,ETS_bHLH
ETV2_HES7_3,ETS_bHLH,0.18258026780571598,0.45728645501481396,0.16065294321215806,0.35583948280418,0.28690303921277377,0.10591550125301906,0.3495938750888146,ETS_bHLH
ETV2_NHLH1,ETS_bHLH,0.14448584682188198,0.4324051914729389,0.18217554332513802,0.37906330956788303,0.20177224547357153,0.13775650228634378,0.06306178160519188,ETS_bHLH
ETV2_NHLH1_2,ETS_bHLH,0.225242936685373,0.312929168012965,0.176277994155219,0.361063635631807,0.2811168476686056,0.19053186965086333,0.19289821114850925,ETS_bHLH
ETV2_SREBF2,ETS_bHLH,0.19060570129469,0.4168911237972629,0.130843161437572,0.399034587889436,0.2625111777482946,0.16919056201521016,0.09690549397839847,ETS_bHLH
ETV2_SREBF2_2,ETS_bHLH,0.15931538278413598,0.41346123557682596,0.18998779566732896,0.3590973338794949,0.2293726483669496,0.19651249348056105,0.05242503885486097,ETS_bHLH
ETV2_TCF3,ETS_bHLH,0.173536959965635,0.29012086639328805,0.116661274049369,0.40712275576576895,0.24541832236917674,0.1185683558842507,0.12684996648492602,ETS_bHLH
ETV5_CLOCK,ETS_bHLH,0.17291372123379,0.355013562006447,0.119245549272955,0.369158022750381,0.24453692961444942,0.13689756448844415,0.10763936512600528,ETS_bHLH
ETV5_FIGLA,ETS_bHLH,0.15680607250011402,0.40128542213504403,0.145982162565436,0.379889973559574,0.21813979321493976,0.11666012594688425,0.10194785543034404,ETS_bHLH
ETV5_HES7,ETS_bHLH,0.280801913055418,0.329229494168296,0.18058620305363604,0.385863988047248,0.39711387385218944,0.1634299340904847,0.23368393976170485,ETS_bHLH
ETV5_HES7_2,ETS_bHLH,0.2323060214572389,0.40694346389991204,0.165017825435029,0.418144330658025,0.328530326200903,0.15058297128183076,0.17794735491907224,ETS_bHLH
ETV5_TCF3,ETS_bHLH,0.162518506112303,0.35417772680129106,0.11331860784397801,0.35924700451647296,0.22983587577011677,0.1182583649877605,0.11157751078235628,ETS_bHLH
ETV5_TCF3_2,ETS_bHLH,0.144593073926182,0.33475031036451297,0.113688031826668,0.35270064684086205,0.24527206665299878,0.14551751261977425,0.16394227118693894,ETS_bHLH
FLI1_BHLHA15,ETS_bHLH,0.359857786548421,0.43256612823988,0.317949286282313,0.407821323988478,0.5089157619173142,0.3523813051269831,0.15653445679033118,ETS_bHLH
