name1,name2,nameOut,case,isRC,loc1,loc2,quality1,quality2,quality,overlapLen
HOXD12,HOXA3,HOXD12_HOXA3,3,0,7,-1,0.184344207985349,0.331193934282292,0.5155381422676409,2
HOXD12,HOXA3,HOXD12_HOXA3_2,3,0,8,-1,0.250703727190219,0.319409491004178,0.570113218194397,1
HOXD12,TBX21,HOXD12_TBX21,2,0,9,-1,0.358433867405741,0.243190997436688,0.6016248648424289,0
HOXD12,TBX21,HOXD12_TBX21_2,3,0,22,15,0.32870823149849704,0.387128676215306,0.715836907713803,3
HOXD12,TBX21,HOXD12_TBX21_3,3,0,6,-1,0.400391819107056,0.39081088171723105,0.7912027008242869,3
MEIS1,DLX2,MEIS1_DLX2,4,0,-1,7,0.154196531290132,0.134426172351611,0.28862270364174203,-1
MEIS1,DLX3,MEIS1_DLX3,4,0,-1,7,0.0684936498765258,0.154993714971537,0.22348736484806303,-1
MEIS1,DRGX,MEIS1_DRGX,4,0,-1,5,0.23002624829968601,0.22479894189073604,0.4548251901904221,1
MEIS1,DRGX,MEIS1_DRGX_2,2,1,3,-6,0.195308487622143,0.40617220902348494,0.6014806966456279,4
MEIS1,ELF1,MEIS1_ELF1,2,0,0,0,0.47493385721146597,0.367907667998413,0.842841525209879,12
MEIS1,EOMES,MEIS1_EOMES,2,0,5,-1,0.21498061916378,0.4869518549507821,0.701932474114563,7
MEIS1,EVX1,MEIS1_EVX1,1,0,-1,8,0.168756584032685,0.336393153573947,0.505149737606633,-2
MEIS1,HOXA13,MEIS1_HOXA13,4,1,-1,5,0.109180851725422,0.42783774329291707,0.53701859501834,1
MEIS1,HOXB13,MEIS1_HOXB13,4,1,-1,5,0.182674181301635,0.38677082135989205,0.569445002661526,1
MEIS1,MAX,MEIS1_MAX,1,0,0,10,0.162065254543679,0.0861710447281864,0.248236299271865,-3
MEIS1,ONECUT2,MEIS1_ONECUT2,1,0,-1,4,0.114423621094075,0.26390946540551397,0.378333086499589,2
MEIS1,SOX2,MEIS1_SOX2,4,0,-1,9,0.119701631816612,0.526377333234485,0.6460789650510971,-3
MEIS2,ONECUT2,MEIS2_ONECUT2,1,0,0,5,0.169482421926155,0.314656128620732,0.484138550546887,3
MGA,DLX2,MGA_DLX2,4,0,0,5,0.24461546424599398,0.129789836698761,0.374405300944755,3
MGA,DLX2,MGA_DLX2_2,2,0,8,0,0.0826077225947664,0.17266590018823802,0.255273622783005,0
MGA,DLX3,MGA_DLX3,4,0,0,5,0.20488222337201897,0.164688876963818,0.369571100335837,3
MGA,DLX3,MGA_DLX3_2,2,0,7,-1,0.132076157420038,0.21650975466093397,0.348585912080973,0
MGA,EVX1,MGA_EVX1,4,0,0,4,0.265302390952745,0.27104495592933603,0.536347346882081,4
MGA,EVX1,MGA_EVX1_2,4,0,0,4,0.281924577815706,0.31669091184053494,0.5986154896562409,4
MGA,PITX1,MGA_PITX1,1,0,0,5,0.28745103794223403,0.222736097998803,0.510187135941037,3
MYBL1,ELF1,MYBL1_ELF1,2,0,4,-1,0.313764082283088,0.43685598250709706,0.7506200647901851,7
MYBL1,EOMES,MYBL1_EOMES,2,1,7,-1,0.359806119359961,0.32029950265611606,0.680105622016077,5
MYBL1,EOMES,MYBL1_EOMES_2,4,1,-4,1,0.28723378736570504,0.48157560717079295,0.7688093945364979,6
MYBL1,FIGLA,MYBL1_FIGLA,3,0,10,-1,0.260068904974896,0.182964929293857,0.443033834268753,-1
MYBL1,FIGLA,MYBL1_FIGLA_2,3,0,11,-1,0.268772810872118,0.176028225545488,0.444801036417605,-2
MYBL1,FIGLA,MYBL1_FIGLA_3,3,0,12,-1,0.266082886785013,0.180747072432805,0.446829959217818,-3
MYBL1,FIGLA,MYBL1_FIGLA_4,4,1,-2,12,0.31702082804209303,0.13940445038594698,0.45642527842804,-3
MYBL1,FIGLA,MYBL1_FIGLA_5,1,1,-2,11,0.283481623111451,0.18270401721108398,0.46618564032253496,-2
MYBL1,HOXA13,MYBL1_HOXA13,2,0,10,-1,0.29062722981052197,0.130323844815427,0.42095107462594894,0
MYBL1,MAX,MYBL1_MAX,4,1,-2,8,0.33112129539813695,0.074431596425841,0.40555289182397797,1
MYBL1,MAX,MYBL1_MAX_2,2,1,12,-2,0.30556420126236306,0.0508410351416641,0.35640523640402705,-4
MYBL1,MAX,MYBL1_MAX_3,2,1,13,-2,0.28672646913057104,0.062325919348903,0.34905238847947395,-5
MYBL1,ONECUT2,MYBL1_ONECUT2,2,1,5,-4,0.301542381269737,0.310232889639226,0.611775270908963,5
MYBL1,TBX21,MYBL1_TBX21,4,1,-1,5,0.41756575259490003,0.173530248601727,0.5910960011966271,5
PITX1,EOMES,PITX1_EOMES,3,1,9,-4,0.12833425376083699,0.33040563632781295,0.45873989008865,0
PITX1,EOMES,PITX1_EOMES_2,4,1,-1,6,0.12011993470943598,0.27133331153544,0.391453246244876,1
PITX1,FIGLA,PITX1_FIGLA,1,0,-1,8,0.144506757804132,0.13859962239302698,0.28310638019716,-1
PITX1,HES7,PITX1_HES7,1,1,-1,5,0.11737726601958802,0.42827049471000395,0.5456477607295921,2
PITX1,HES7,PITX1_HES7_2,1,1,-1,6,0.122577291519788,0.5098421133563521,0.63241940487614,1
PITX1,HES7,PITX1_HES7_3,1,1,-1,7,0.122445657509077,0.42193610265295095,0.5443817601620279,0
PITX1,HOXA3,PITX1_HOXA3,1,1,-1,8,0.096362133460517,0.32641381345500803,0.42277594691552506,-1
PITX1,TBX21,PITX1_TBX21,4,1,-1,7,0.121179647195117,0.17539899027691,0.296578637472028,0
POU2F1,DLX2,POU2F1_DLX2,2,1,13,-1,0.352132806804383,0.247661433561708,0.5997942403660911,-6
POU2F1,DLX2,POU2F1_DLX2_2,4,0,2,13,0.35856044424308203,0.136261107600315,0.494821551843396,1
POU2F1,DLX2,POU2F1_DLX2_3,2,1,6,-1,0.3048378025857,0.18639856918641198,0.49123637177211105,1
POU2F1,ELK1,POU2F1_ELK1,2,0,4,0,0.311097785885107,0.367326184635548,0.6784239705206551,6
POU2F1,ELK1,POU2F1_ELK1_2,2,0,4,0,0.32558920025472304,0.43797864703771705,0.76356784729244,6
POU2F1,EOMES,POU2F1_EOMES,1,0,-7,4,0.346370653581576,0.53824738043123,0.8846180340128059,1
POU2F1,EOMES,POU2F1_EOMES_2,2,0,8,-4,0.314512163989095,0.463882675575224,0.7783948395643191,1
POU2F1,EOMES,POU2F1_EOMES_3,2,0,9,-1,0.491315026680252,0.507425129423264,0.998740156103516,3
POU2F1,EOMES,POU2F1_EOMES_4,1,0,1,6,0.41105746798130394,0.5057944782809289,0.916851946262233,7
POU2F1,EOMES,POU2F1_EOMES_5,4,0,1,19,0.4018753453250421,0.33847208463337,0.7403474299584121,-6
POU2F1,ETV1,POU2F1_ETV1,2,0,4,0,0.324382277324822,0.33522000572688504,0.659602283051707,6
POU2F1,ETV4,POU2F1_ETV4,2,0,4,0,0.33120104191155797,0.421224907947872,0.75242594985943,6
POU2F1,ETV4,POU2F1_ETV4_2,2,0,4,0,0.33120104191155797,0.421224907947872,0.75242594985943,6
POU2F1,FOXO6,POU2F1_FOXO6,1,0,1,24,0.324431281112592,0.4482233670649171,0.7726546481775091,-11
POU2F1,FOXO6,POU2F1_FOXO6_2,3,1,23,0,0.311987427088334,0.340941740428687,0.652929167517021,-16
POU2F1,FOXO6,POU2F1_FOXO6_3,1,0,1,21,0.357775085952734,0.271772415562551,0.629547501515285,-8
POU2F1,GSC2,POU2F1_GSC2,3,0,7,-1,0.280771409687827,0.186140722130997,0.46691213181882396,2
POU2F1,GSC2,POU2F1_GSC2_2,3,0,7,-1,0.280771409687827,0.186140722130997,0.46691213181882396,2
POU2F1,HOXB13,POU2F1_HOXB13,3,1,8,-2,0.272043674618019,0.46353550980499997,0.735579184423019,1
POU2F1,SOX15,POU2F1_SOX15,3,1,4,-2,0.354182769989117,0.45346010839015,0.8076428783792672,9
POU2F1,SOX15,POU2F1_SOX15_2,3,1,4,-2,0.351348524545722,0.487529354271689,0.8388778788174109,9
POU2F1,SOX15,POU2F1_SOX15_3,3,1,6,0,0.39974270583000804,0.547289528113726,0.9470322339437329,9
POU2F1,SOX2,POU2F1_SOX2,3,1,5,-7,0.230219309274921,0.47542587892242605,0.7056451881973471,3
POU2F1,SOX2,POU2F1_SOX2_2,3,1,5,-7,0.21600043846519199,0.542744326518614,0.7587447649838058,3
POU2F1,TBX21,POU2F1_TBX21,4,0,8,14,0.486888119007827,0.422328259526906,0.909216378534732,6
POU2F1,TBX21,POU2F1_TBX21_2,1,0,-7,4,0.33664289771788003,0.56555344688064,0.902196344598521,1
RFX3,BHLHA15,RFX3_BHLHA15,2,1,10,0,0.241932735794715,0.11165326863269802,0.35358600442741295,0
RFX3,ETV7,RFX3_ETV7,4,1,0,14,0.369180203158569,0.19929063954784,0.5684708427064089,1
RFX3,FIGLA,RFX3_FIGLA,4,0,-1,16,0.478399307869749,0.176979124063531,0.6553784319332809,-2
